,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2014-01-1,21.9,28.6,0,3.4,12.5,ESE,33,07:25,26.7,56,4,ESE,20,1015.3,26.7,53,1,ENE,20,1013.4
,2014-01-2,20.6,30.5,0,9.0,8.6,N,41,23:09,26.1,58,7,NNW,20,1011.9,27.2,64,7,N,28,1008.4
,2014-01-3,22.2,31.2,2.0,8.6,11.2,N,70,19:46,29.0,64,2,NE,13,1006.8,29.5,69,2,NNE,39,1001.7
,2014-01-4,24.7,34.3,0.4,10.4,12.8,N,50,09:42,29.9,67,1,N,30,1001.7,31.2,64,1,NNE,31,997.8
,2014-01-5,24.1,31.4,0,11.0,6.1,SE,37,00:23,26.7,69,8,S,15,1008.4,29.5,67,4,ESE,22,1006.1
,2014-01-6,25.4,32.5,0,4.2,6.4,,,,29.5,71,6,N,20,1008.0,29.2,70,6,NNE,28,1004.5
,2014-01-7,21.8,29.2,38.2,9.2,8.6,,,,27.6,52,6,SSE,28,1013.0,26.8,57,6,SE,24,1012.8
,2014-01-8,23.4,28.5,0,13.0,9.3,ESE,41,01:02,26.9,53,7,ESE,20,1018.4,26.4,49,7,SE,22,1016.9
,2014-01-9,20.0,26.7,1.8,8.2,4.9,SE,33,15:35,23.6,59,8,ESE,11,1020.6,26.4,47,7,ESE,17,1018.9
,2014-01-10,19.6,27.1,0.4,7.0,1.5,ENE,33,09:54,25.5,66,5,SE,13,1020.3,25.6,60,7,ENE,19,1018.4
